id,set_label,element_label,color
0,Three_Turn,RFI_Three_Turn,#3b82f6
1,Three_Turn,RFO_Three_Turn,#3b82f6
2,Three_Turn,RBI_Three_Turn,#3b82f6
3,Three_Turn,RBO_Three_Turn,#3b82f6
4,Three_Turn,LFI_Three_Turn,#3b82f6
5,Three_Turn,LFO_Three_Turn,#3b82f6
6,Three_Turn,LBI_Three_Turn,#3b82f6
7,Three_Turn,LBO_Three_Turn,#3b82f6
8,Bracket_Turn,RFI_Bracket_Turn,#8b5cf6
9,Bracket_Turn,RFO_Bracket_Turn,#8b5cf6
10,Bracket_Turn,RBI_Bracket_Turn,#8b5cf6
11,Bracket_Turn,RBO_Bracket_Turn,#8b5cf6
12,Bracket_Turn,LFI_Bracket_Turn,#8b5cf6
13,Bracket_Turn,LFO_Bracket_Turn,#8b5cf6
14,Bracket_Turn,LBI_Bracket_Turn,#8b5cf6
15,Bracket_Turn,LBO_Bracket_Turn,#8b5cf6
16,Rocker_Turn,RFI_Rocker_Turn,#06b6d4
17,Rocker_Turn,RFO_Rocker_Turn,#06b6d4
18,Rocker_Turn,RBI_Rocker_Turn,#06b6d4
19,Rocker_Turn,RBO_Rocker_Turn,#06b6d4
20,Rocker_Turn,LFI_Rocker_Turn,#06b6d4
21,Rocker_Turn,LFO_Rocker_Turn,#06b6d4
22,Rocker_Turn,LBI_Rocker_Turn,#06b6d4
23,Rocker_Turn,LBO_Rocker_Turn,#06b6d4
24,Counter_Turn,RFI_Counter_Turn,#10b981
25,Counter_Turn,RFO_Counter_Turn,#10b981
26,Counter_Turn,RBI_Counter_Turn,#10b981
27,Counter_Turn,RBO_Counter_Turn,#10b981
28,Counter_Turn,LFI_Counter_Turn,#10b981
29,Counter_Turn,LFO_Counter_Turn,#10b981
30,Counter_Turn,LBI_Counter_Turn,#10b981
31,Counter_Turn,LBO_Counter_Turn,#10b981
32,Loop_Turn,RFI_Loop_Turn,#f59e0b
33,Loop_Turn,RFO_Loop_Turn,#f59e0b
34,Loop_Turn,RBI_Loop_Turn,#f59e0b
35,Loop_Turn,RBO_Loop_Turn,#f59e0b
36,Loop_Turn,LFI_Loop_Turn,#f59e0b
37,Loop_Turn,LFO_Loop_Turn,#f59e0b
38,Loop_Turn,LBI_Loop_Turn,#f59e0b
39,Loop_Turn,LBO_Loop_Turn,#f59e0b
40,Twizzle,Twizzle,#ef4444
41,Toe_Step,Toe_Step,#ec4899
42,Hop,Hop,#f59e0b
43,Mohawk,Mohawk,#f97316
44,Choctaw,Choctaw,#8b5cf6
45,Cross,Cross_Forward,#059669
46,Cross,Cross_Backward,#059669
47,Crossover,Crossover_Forward,#7c3aed
48,Crossover,Crossover_Backward,#7c3aed
49,Lunge,Lunge,#f97316
50,Knee_Slide,Knee_Slide,#374151
51,Spiral,Spiral,#db2777
52,Spread_Eagles,Spread_Eagles,#c2410c
53,Ina_Bauers,Ina_Bauers,#7c2d12
54,Hydroblading,Hydroblading,#1e40af
55,Ambiguous_Turn,Ambiguous_Turn,#9ca3af
56,Ambiguous_Step,Ambiguous_Step,#9ca3af
57,Ambiguous_Skating_Movement,Ambiguous_Skating_Movement,#9ca3af
58,NONE,NONE,#6b7280
